1192,189
language.name,language.name
language.region,language.region
language.code,language.code
block.minecraft.stone,tile.stone.stone.name
block.minecraft.granite,tile.stone.granite.name
block.minecraft.polished_granite,tile.stone.graniteSmooth.name
block.minecraft.diorite,tile.stone.diorite.name
block.minecraft.polished_diorite,tile.stone.dioriteSmooth.name
block.minecraft.andesite,tile.stone.andesite.name
block.minecraft.polished_andesite,tile.stone.andesiteSmooth.name
block.minecraft.grass_block,tile.grass.name
block.minecraft.dirt,tile.dirt.name
block.minecraft.coarse_dirt,tile.dirt.coarse.name
block.minecraft.podzol,tile.dirt.podzol.name
block.minecraft.cobblestone,tile.stonebrick.name
block.minecraft.oak_planks,tile.wood.oak.name
block.minecraft.spruce_planks,tile.wood.spruce.name
block.minecraft.birch_planks,tile.wood.birch.name
block.minecraft.jungle_planks,tile.wood.jungle.name
block.minecraft.acacia_planks,tile.wood.acacia.name
block.minecraft.dark_oak_planks,tile.wood.big_oak.name
block.minecraft.bedrock,tile.bedrock.name
block.minecraft.sand,tile.sand.name
block.minecraft.red_sand,tile.sand.red.name
block.minecraft.gravel,tile.gravel.name
block.minecraft.gold_ore,tile.oreGold.name
block.minecraft.iron_ore,tile.oreIron.name
block.minecraft.coal_ore,tile.oreCoal.name
block.minecraft.lapis_ore,tile.oreLapis.name
block.minecraft.diamond_ore,tile.oreDiamond.name
block.minecraft.redstone_ore,tile.oreRedstone.name
block.minecraft.emerald_ore,tile.oreEmerald.name
block.minecraft.coal_block,tile.blockCoal.name
block.minecraft.iron_block,tile.blockIron.name
block.minecraft.gold_block,tile.blockGold.name
block.minecraft.diamond_block,tile.blockDiamond.name
block.minecraft.lapis_block,tile.blockLapis.name
block.minecraft.redstone_block,tile.blockRedstone.name
block.minecraft.emerald_block,tile.blockEmerald.name
block.minecraft.oak_wood,tile.log.oak.name
block.minecraft.spruce_wood,tile.log.spruce.name
block.minecraft.birch_wood,tile.log.birch.name
block.minecraft.jungle_wood,tile.log.jungle.name
block.minecraft.acacia_wood,tile.log.acacia.name
block.minecraft.dark_oak_wood,tile.log.big_oak.name
block.minecraft.sponge,tile.sponge.dry.name
block.minecraft.wet_sponge,tile.sponge.wet.name
block.minecraft.glass,tile.glass.name
block.minecraft.white_stained_glass,tile.stainedGlass.white.name
block.minecraft.orange_stained_glass,tile.stainedGlass.orange.name
block.minecraft.magenta_stained_glass,tile.stainedGlass.magenta.name
block.minecraft.light_blue_stained_glass,tile.stainedGlass.lightBlue.name
block.minecraft.yellow_stained_glass,tile.stainedGlass.yellow.name
block.minecraft.lime_stained_glass,tile.stainedGlass.lime.name
block.minecraft.pink_stained_glass,tile.stainedGlass.pink.name
block.minecraft.gray_stained_glass,tile.stainedGlass.gray.name
block.minecraft.light_gray_stained_glass,tile.stainedGlass.silver.name
